"声優","出演数","メイン","メイン率"
"林原めぐみ","69","48","0.6956521739130435"
"三石琴乃","76","22","0.2894736842105263"
"折笠愛","74","19","0.25675675675675674"
"坂本千夏","46","19","0.41304347826086957"
"粗忽屋浜田山店","44","18","0.4090909090909091"
"田中真弓","44","18","0.4090909090909091"
"高山みなみ","52","17","0.3269230769230769"
"大谷育江","95","16","0.16842105263157894"
"緒方恵美","40","16","0.4"
"こおろぎさとみ","54","15","0.2777777777777778"
"宮村優子 (声優)","24","15","0.625"
"矢島晶子","77","15","0.19480519480519481"
"伊倉一恵","55","14","0.2545454545454545"
"かないみか","71","14","0.19718309859154928"
"川上とも子","44","14","0.3181818181818182"
"渡辺久美子","58","14","0.2413793103448276"
"川澄綾子","35","13","0.37142857142857144"
"白鳥由里","73","13","0.1780821917808219"
"久川綾","43","13","0.3023255813953488"
"南央美","60","13","0.21666666666666667"
"桑島法子","25","12","0.48"
"小桜エツコ","31","12","0.3870967741935484"
"高乃麗","66","12","0.18181818181818182"
"日高のり子","33","12","0.36363636363636365"
"松井菜桜子","60","12","0.2"
"松本梨香","52","12","0.23076923076923078"
"皆口裕子","32","12","0.375"
"天野由梨","84","11","0.13095238095238096"
"くまいもとこ","49","11","0.22448979591836735"
"冬馬由美","70","11","0.15714285714285714"
"富沢美智恵","37","11","0.2972972972972973"
"渕崎ゆり子","40","11","0.275"
"水谷優子","63","11","0.1746031746031746"
"山崎和佳奈","57","11","0.19298245614035087"
"鈴木真仁","24","10","0.4166666666666667"
"竹内順子","30","10","0.3333333333333333"
"横山智佐","52","10","0.19230769230769232"
"川村万梨阿","47","9","0.19148936170212766"
"佐久間レイ","39","9","0.23076923076923078"
"冨永みーな","26","9","0.34615384615384615"
"氷上恭子","43","9","0.20930232558139536"
"ゆきのさつき","40","9","0.225"
"今井由香","43","8","0.18604651162790697"
"岩男潤子","35","8","0.22857142857142856"
"小林優子","72","8","0.1111111111111111"
"野沢雅子","29","8","0.27586206896551724"
"平松晶子","54","8","0.14814814814814814"
"堀江由衣","22","8","0.36363636363636365"
"飯塚雅弓","18","7","0.3888888888888889"
"池澤春菜","25","7","0.28"
