"声優","出演数","メイン","メイン率"
"花澤香菜","104","80","0.7692307692307693"
"沢城みゆき","87","51","0.5862068965517241"
"茅野愛衣","104","49","0.47115384615384615"
"日笠陽子","97","42","0.4329896907216495"
"喜多村英梨","66","37","0.5606060606060606"
"三森すずこ","63","37","0.5873015873015873"
"内田真礼","66","36","0.5454545454545454"
"釘宮理恵","82","36","0.43902439024390244"
"悠木碧","75","36","0.48"
"井口裕香","56","34","0.6071428571428571"
"井上麻里奈","57","33","0.5789473684210527"
"M・A・O","59","33","0.559322033898305"
"阿澄佳奈","60","32","0.5333333333333333"
"加藤英美里","52","31","0.5961538461538461"
"小松未可子","60","31","0.5166666666666667"
"斎藤千和","66","31","0.4696969696969697"
"佐倉綾音","69","31","0.4492753623188406"
"早見沙織","73","31","0.4246575342465753"
"堀江由衣","79","30","0.379746835443038"
"金元寿子","65","29","0.4461538461538462"
"小林ゆう","67","29","0.43283582089552236"
"東山奈央","59","29","0.4915254237288136"
"豊崎愛生","47","29","0.6170212765957447"
"伊藤静","62","27","0.43548387096774194"
"種田梨沙","62","27","0.43548387096774194"
"竹達彩奈","52","25","0.4807692307692308"
"戸松遥","56","25","0.44642857142857145"
"内山夕実","99","24","0.24242424242424243"
"高垣彩陽","60","22","0.36666666666666664"
"橘田いずみ","38","20","0.5263157894736842"
"大原さやか","75","19","0.25333333333333335"
"瀬戸麻沙美","46","19","0.41304347826086957"
"小倉唯","39","18","0.46153846153846156"
"徳井青空","35","18","0.5142857142857142"
"名塚佳織","44","18","0.4090909090909091"
"沼倉愛美","36","18","0.5"
"野水伊織","27","18","0.6666666666666666"
"日高里菜","51","18","0.35294117647058826"
"遠藤綾","57","17","0.2982456140350877"
"小澤亜李","41","17","0.4146341463414634"
"久野美咲","42","17","0.40476190476190477"
"中原麻衣","57","17","0.2982456140350877"
"福圓美里","48","17","0.3541666666666667"
"水瀬いのり","32","17","0.53125"
"雨宮天","31","16","0.5161290322580645"
"平野綾","27","16","0.5925925925925926"
"水橋かおり","30","16","0.5333333333333333"
"石原夏織","36","15","0.4166666666666667"
"伊藤かな恵","36","15","0.4166666666666667"
"大橋彩香","25","15","0.6"
"白石涼子","58","15","0.25862068965517243"
"津田美波","41","15","0.36585365853658536"
"赤崎千夏","76","14","0.18421052631578946"
"内田彩","26","14","0.5384615384615384"
"大坪由佳","26","14","0.5384615384615384"
"木戸衣吹","30","14","0.4666666666666667"
"斎賀みつき","37","14","0.3783783783783784"
"佐藤聡美","47","14","0.2978723404255319"
"諏訪彩花","70","14","0.2"
"田村ゆかり","45","14","0.3111111111111111"
"生天目仁美","55","14","0.2545454545454545"
"藤村歩","62","14","0.22580645161290322"
"伊瀬茉莉也","62","13","0.20967741935483872"
"加隈亜衣","56","13","0.23214285714285715"
"田村睦心","51","13","0.2549019607843137"
"能登麻美子","84","13","0.15476190476190477"
"潘めぐみ","71","13","0.18309859154929578"
