"声優","出演数","メイン","メイン率"
"能登麻美子","287","78","0.27177700348432055"
"井上喜久子","272","37","0.13602941176470587"
"大原さやか","258","50","0.1937984496124031"
"沢城みゆき","250","118","0.472"
"川澄綾子","245","84","0.34285714285714286"
"釘宮理恵","245","93","0.3795918367346939"
"渡辺明乃","230","28","0.12173913043478261"
"堀江由衣","223","108","0.484304932735426"
"根谷美智子","221","20","0.09049773755656108"
"ゆきのさつき","213","53","0.24882629107981222"
"桑島法子","211","76","0.36018957345971564"
"久川綾","211","41","0.1943127962085308"
"野沢雅子","201","43","0.21393034825870647"
"斎藤千和","200","67","0.335"
"伊藤美紀 (声優)","197","14","0.07106598984771574"
"小林ゆう","196","80","0.40816326530612246"
"勝生真沙子","192","17","0.08854166666666667"
"田村ゆかり","181","61","0.3370165745856354"
"生天目仁美","180","57","0.31666666666666665"
"鈴木れい子","179","0","0.0"
"小林由美子","178","36","0.20224719101123595"
"折笠富美子","177","62","0.3502824858757062"
"斎賀みつき","175","58","0.3314285714285714"
"柚木涼香","175","28","0.16"
"豊口めぐみ","172","47","0.27325581395348836"
"矢島晶子","171","42","0.24561403508771928"
"かないみか","170","28","0.16470588235294117"
"大谷育江","169","38","0.22485207100591717"
"折笠愛","169","32","0.1893491124260355"
"伊藤静","168","72","0.42857142857142855"
"中原麻衣","168","71","0.4226190476190476"
"花澤香菜","168","123","0.7321428571428571"
"三石琴乃","167","30","0.17964071856287425"
"くまいもとこ","165","43","0.2606060606060606"
"斉藤貴美子","165","3","0.01818181818181818"
"小林沙苗","163","51","0.3128834355828221"
"藤村歩","163","38","0.2331288343558282"
"京田尚子","162","0","0.0"
"冬馬由美","162","28","0.1728395061728395"
"真山亜子","162","0","0.0"
"水原リン","162","0","0.0"
"岡村明美","161","19","0.11801242236024845"
"粗忽屋武蔵野店","161","19","0.11801242236024845"
"松井菜桜子","160","26","0.1625"
"植田佳奈","159","38","0.2389937106918239"
"喜多村英梨","158","80","0.5063291139240507"
"天野由梨","156","11","0.07051282051282051"
"福圓美里","156","43","0.27564102564102566"
"吉田理保子","156","32","0.20512820512820512"
"進藤尚美","155","12","0.07741935483870968"
"高橋美佳子","155","43","0.27741935483870966"
"井上麻里奈","151","71","0.47019867549668876"
"坂本千夏","151","31","0.2052980132450331"
"島本須美","151","17","0.11258278145695365"
"田中敦子 (声優)","149","17","0.11409395973154363"
"名塚佳織","149","53","0.35570469798657717"
"川上とも子","148","45","0.30405405405405406"
"白石涼子","148","39","0.2635135135135135"
"朴ロ美","148","46","0.3108108108108108"
"林原めぐみ","147","86","0.5850340136054422"
"皆川純子","147","36","0.24489795918367346"
"金田朋子","145","19","0.1310344827586207"
"小清水亜美","145","41","0.2827586206896552"
"杉山佳寿子","144","33","0.22916666666666666"
"日笠陽子","144","56","0.3888888888888889"
"南央美","142","26","0.18309859154929578"
"小林優子","141","12","0.0851063829787234"
"平松晶子","141","17","0.12056737588652482"
"小山茉美","140","18","0.12857142857142856"
"篠原恵美","138","10","0.07246376811594203"
"加藤英美里","137","60","0.43795620437956206"
"くじら (声優)","137","0","0.0"
"高垣彩陽","137","49","0.35766423357664234"
"野田順子","137","24","0.17518248175182483"
"江森浩子","136","8","0.058823529411764705"
"甲斐田裕子","135","16","0.11851851851851852"
"浅野真澄","134","33","0.2462686567164179"
"遠藤綾","134","39","0.291044776119403"
"高山みなみ","134","40","0.29850746268656714"
"七緒はるひ","134","10","0.07462686567164178"
"渡辺久美子","132","27","0.20454545454545456"
"三瓶由布子","131","26","0.1984732824427481"
"松来未祐","131","37","0.2824427480916031"
"山本圭子","131","17","0.1297709923664122"
"鶴ひろみ","130","21","0.16153846153846155"
"水谷優子","130","22","0.16923076923076924"
"浅川悠","129","25","0.1937984496124031"
"潘恵子","128","18","0.140625"
"西原久美子","127","9","0.07086614173228346"
"矢作紗友里","127","33","0.25984251968503935"
"伊倉一恵","126","19","0.15079365079365079"
"阿澄佳奈","125","56","0.448"
"茅野愛衣","125","57","0.456"
"こおろぎさとみ","125","30","0.24"
"佐久間レイ","125","22","0.176"
"土井美加","125","10","0.08"
"水樹奈々","125","63","0.504"
"白鳥由里","124","17","0.13709677419354838"
"井口裕香","123","50","0.4065040650406504"
"大浦冬華","123","12","0.0975609756097561"
"玉川砂記子","123","10","0.08130081300813008"
"豊崎愛生","122","58","0.47540983606557374"
"水橋かおり","122","56","0.45901639344262296"
"粗忽屋浜田山店","121","55","0.45454545454545453"
"田中真弓","121","55","0.45454545454545453"
"広橋涼","121","40","0.3305785123966942"
"下屋則子","119","16","0.13445378151260504"
"田中理恵 (声優)","119","53","0.44537815126050423"
"西村ちなみ","119","16","0.13445378151260504"
"神田朱未","118","35","0.2966101694915254"
"戸松遥","118","48","0.4067796610169492"
"氷上恭子","118","16","0.13559322033898305"
"滝沢久美子","117","0","0.0"
"悠木碧","117","53","0.452991452991453"
"伊瀬茉莉也","116","28","0.2413793103448276"
"高乃麗","116","18","0.15517241379310345"
"荒木香衣","115","4","0.034782608695652174"
"早水リサ","115","17","0.14782608695652175"
"本多知恵子","115","11","0.09565217391304348"
"上村典子","114","2","0.017543859649122806"
"内山夕実","114","25","0.21929824561403508"
"さとうあい","114","0","0.0"
"佐藤智恵","114","9","0.07894736842105263"
"新井里美","113","23","0.20353982300884957"
"小宮和枝","112","3","0.026785714285714284"
"日高のり子","112","30","0.26785714285714285"
"かかずゆみ","111","27","0.24324324324324326"
"竹内順子","111","31","0.27927927927927926"
"早見沙織","111","48","0.43243243243243246"
"増山江威子","111","0","0.0"
"川村万梨阿","110","15","0.13636363636363635"
"桑谷夏子","110","23","0.20909090909090908"
"高田由美","110","4","0.03636363636363636"
"恒松あゆみ","108","5","0.046296296296296294"
"半場友恵","108","12","0.1111111111111111"
"後藤沙緒里","107","24","0.22429906542056074"
"粗忽屋後楽園店","107","7","0.06542056074766354"
"粗忽屋所沢店","107","7","0.06542056074766354"
"夏樹リオ","107","5","0.04672897196261682"
"三田ゆう子","107","7","0.06542056074766354"
"皆口裕子","107","25","0.2336448598130841"
"山口由里子","107","7","0.06542056074766354"
"木村亜希子","106","25","0.2358490566037736"
"清水愛","105","25","0.23809523809523808"
"沢海陽子","105","2","0.01904761904761905"
"松本梨香","105","22","0.20952380952380953"
"野中藍","104","26","0.25"
"松岡洋子 (声優)","104","6","0.057692307692307696"
"大本眞基子","103","20","0.1941747572815534"
"松岡由貴","103","23","0.22330097087378642"
"浅野まゆみ","102","11","0.10784313725490197"
"佐藤聡美","102","24","0.23529411764705882"
"真堂圭","102","21","0.20588235294117646"
"山崎和佳奈","102","20","0.19607843137254902"
"愛河里花子","101","21","0.2079207920792079"
"一龍斎春水","101","24","0.2376237623762376"
"渡辺美佐 (声優)","101","0","0.0"
"甲斐田ゆき","100","20","0.2"
"本田貴子","99","13","0.13131313131313133"
"峰あつ子","99","0","0.0"
"田村睦心","98","18","0.1836734693877551"
"千葉紗子","98","39","0.3979591836734694"
"松島みのり","98","22","0.22448979591836735"
"城雅子","97","1","0.010309278350515464"
"藤田淑子","97","24","0.24742268041237114"
"神代知衣","96","10","0.10416666666666667"
"高島雅羅","96","0","0.0"
"百々麻子","96","0","0.0"
"川田妙子","95","13","0.1368421052631579"
"後藤邑子","94","34","0.3617021276595745"
"新谷良子","94","34","0.3617021276595745"
"長沢美樹","94","4","0.0425531914893617"
"赤崎千夏","93","14","0.15053763440860216"
"菊池こころ","93","5","0.053763440860215055"
"小桜エツコ","93","38","0.40860215053763443"
"高木礼子","93","30","0.3225806451612903"
"金元寿子","92","33","0.358695652173913"
"川島千代子","92","5","0.05434782608695652"
"瀧本富士子","92","18","0.1956521739130435"
"寿美菜子","91","19","0.2087912087912088"
"定岡小百合","90","0","0.0"
"鈴木真仁","90","19","0.2111111111111111"
"石村知子","89","5","0.056179775280898875"
"鶴野恭子","89","5","0.056179775280898875"
"柊美冬","89","5","0.056179775280898875"
"明坂聡美","87","25","0.28735632183908044"
"儀武ゆう子","87","7","0.08045977011494253"
"坂本真綾","87","30","0.3448275862068966"
"竹達彩奈","87","40","0.45977011494252873"
"富沢美智恵","87","13","0.14942528735632185"
"平野綾","87","58","0.6666666666666666"
"渕崎ゆり子","87","16","0.1839080459770115"
"伊藤かな恵","86","36","0.4186046511627907"
"真田アサミ","86","26","0.3023255813953488"
"増田ゆき","86","0","0.0"
"今井由香","85","15","0.17647058823529413"
"榎本温子","85","19","0.2235294117647059"
"笹本優子","85","6","0.07058823529411765"
"比嘉久美子","85","18","0.21176470588235294"
"亀井芳子","84","4","0.047619047619047616"
"倉田雅世","84","15","0.17857142857142858"
"橘U子","84","0","0.0"
"葉山いくみ","84","8","0.09523809523809523"
"藤原郁美","84","8","0.09523809523809523"
"堀越真己","84","0","0.0"
"今野宏美","83","11","0.13253012048192772"
"永澤菜教","83","9","0.10843373493975904"
"長沢直美","83","9","0.10843373493975904"
"丸山裕子","83","0","0.0"
"横山智佐","83","16","0.1927710843373494"
"金田アキ","82","9","0.10975609756097561"
"坪井章子","82","0","0.0"
"緒方恵美","81","28","0.345679012345679"
"河原木志穂","81","14","0.1728395061728395"
"佐倉綾音","81","32","0.3950617283950617"
"嶋村侑","81","9","0.1111111111111111"
"つかせのりこ","81","5","0.06172839506172839"
"永島由子","81","6","0.07407407407407407"
"村井かずさ","81","1","0.012345679012345678"
"五十嵐裕美","80","11","0.1375"
"鈴木晶子","80","10","0.125"
"深見梨加","80","6","0.075"
"藤田咲","80","15","0.1875"
"間宮くるみ","80","13","0.1625"
"ゆきじ","80","10","0.125"
"横尾まり","80","1","0.0125"
"鈴木富子","79","0","0.0"
"たかはし智秋","79","14","0.17721518987341772"
"よこざわけい子","79","7","0.08860759493670886"
"一龍斎貞友","78","8","0.10256410256410256"
"門脇舞以","78","27","0.34615384615384615"
"鈴木みえ","78","8","0.10256410256410256"
