"声優","出演数","メイン","メイン率"
"茅野愛衣","104","49","0.47115384615384615"
"花澤香菜","104","80","0.7692307692307693"
"内山夕実","99","24","0.24242424242424243"
"日笠陽子","97","42","0.4329896907216495"
"沢城みゆき","87","51","0.5862068965517241"
"能登麻美子","84","13","0.15476190476190477"
"釘宮理恵","82","36","0.43902439024390244"
"堀江由衣","79","30","0.379746835443038"
"赤崎千夏","76","14","0.18421052631578946"
"大原さやか","75","19","0.25333333333333335"
"悠木碧","75","36","0.48"
"早見沙織","73","31","0.4246575342465753"
"井上喜久子","72","6","0.08333333333333333"
"村中知","72","4","0.05555555555555555"
"潘めぐみ","71","13","0.18309859154929578"
"諏訪彩花","70","14","0.2"
"佐倉綾音","69","31","0.4492753623188406"
"高橋未奈美","69","4","0.057971014492753624"
"小林ゆう","67","29","0.43283582089552236"
"内田真礼","66","36","0.5454545454545454"
"喜多村英梨","66","37","0.5606060606060606"
"斎藤千和","66","31","0.4696969696969697"
"金元寿子","65","29","0.4461538461538462"
"三森すずこ","63","37","0.5873015873015873"
"伊瀬茉莉也","62","13","0.20967741935483872"
"伊藤静","62","27","0.43548387096774194"
"種田梨沙","62","27","0.43548387096774194"
"藤村歩","62","14","0.22580645161290322"
"葉山いくみ","61","4","0.06557377049180328"
"藤原郁美","61","4","0.06557377049180328"
"阿澄佳奈","60","32","0.5333333333333333"
"小松未可子","60","31","0.5166666666666667"
"高垣彩陽","60","22","0.36666666666666664"
"東山奈央","59","29","0.4915254237288136"
"M・A・O","59","33","0.559322033898305"
"上田麗奈","58","12","0.20689655172413793"
"白石涼子","58","15","0.25862068965517243"
"渡辺明乃","58","5","0.08620689655172414"
"井上麻里奈","57","33","0.5789473684210527"
"遠藤綾","57","17","0.2982456140350877"
"高森奈津美","57","11","0.19298245614035087"
"中原麻衣","57","17","0.2982456140350877"
"井口裕香","56","34","0.6071428571428571"
"加隈亜衣","56","13","0.23214285714285715"
"櫻井浩美","56","2","0.03571428571428571"
"戸松遥","56","25","0.44642857142857145"
"藤井ゆきよ","56","5","0.08928571428571429"
"大西沙織","55","11","0.2"
"慶長佑香","55","0","0.0"
"生天目仁美","55","14","0.2545454545454545"
"小清水亜美","54","12","0.2222222222222222"
"加藤英美里","52","31","0.5961538461538461"
"竹達彩奈","52","25","0.4807692307692308"
"村川梨衣","52","12","0.23076923076923078"
"田村睦心","51","13","0.2549019607843137"
"日高里菜","51","18","0.35294117647058826"
"新井里美","50","12","0.24"
"石上静香","50","10","0.2"
"五十嵐裕美","49","10","0.20408163265306123"
"川澄綾子","49","9","0.1836734693877551"
"巽悠衣子","49","8","0.16326530612244897"
"三宅麻理恵","49","5","0.10204081632653061"
"進藤尚美","48","2","0.041666666666666664"
"福圓美里","48","17","0.3541666666666667"
"柚木涼香","48","11","0.22916666666666666"
"植田佳奈","47","10","0.2127659574468085"
"斉藤貴美子","47","1","0.02127659574468085"
"佐藤聡美","47","14","0.2978723404255319"
"豊崎愛生","47","29","0.6170212765957447"
"瀬戸麻沙美","46","19","0.41304347826086957"
"大地葉","46","4","0.08695652173913043"
"西明日香","46","9","0.1956521739130435"
"飯田友子","45","1","0.022222222222222223"
"井澤詩織","45","10","0.2222222222222222"
"田村ゆかり","45","14","0.3111111111111111"
"明坂聡美","44","12","0.2727272727272727"
"桑島法子","44","10","0.22727272727272727"
"寿美菜子","44","10","0.22727272727272727"
"寺崎裕香","44","7","0.1590909090909091"
"名塚佳織","44","18","0.4090909090909091"
"佐藤奏美","43","1","0.023255813953488372"
"三瓶由布子","43","7","0.16279069767441862"
"藤田咲","43","8","0.18604651162790697"
"久野美咲","42","17","0.40476190476190477"
"種崎敦美","42","7","0.16666666666666666"
"原紗友里","42","4","0.09523809523809523"
"小澤亜李","41","17","0.4146341463414634"
"津田美波","41","15","0.36585365853658536"
"安野希世乃","41","12","0.2926829268292683"
"浅野真澄","40","4","0.1"
"小倉唯","39","18","0.46153846153846156"
"田中敦子 (声優)","39","4","0.10256410256410256"
"山崎はるか","39","5","0.1282051282051282"
"橘田いずみ","38","20","0.5263157894736842"
"真堂圭","38","8","0.21052631578947367"
